TS_Pcode,RHC_Code,SRHC_Code,Village_Pcode,CHWAMW,HW_ID,HW_Name,HW_Sex,JanJun2016,JulDec2016,JanJun2017,JulDec2017,JanJun2018,JulDec2018,CCM_Trained,CBNBC_Trained,DualFunctioning,VRS_Trained
MMR014004,1,1,201290,CHW,14004004,Name 1,Male,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
MMR014004,1,1,201291,CHW,14004005,Name 2,Male,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
MMR014004,1,1,201293,CHW,14004006,Name 3,Male,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
MMR014004,1,1,600006,AMW,14004001,Name 4,Female,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
MMR014004,1,1,600009,AMW,14004002,Name 5,Female,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
MMR014004,1,1,600011,AMW,14004003,Name 6,Female,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
MMR014004,1,1,600012,AMW,14004007,Name 7,Female,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
MMR014004,1,1,600012,CHW,14004008,Name 8,Male,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
MMR014004,1,2,201288,AMW,14004011,Name 9,Female,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
MMR014004,1,2,201288,CHW,14004012,Name 10,Male,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
MMR014004,1,2,201320,CHW,14004010,Name 11,Male,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
MMR014004,1,2,600015,AMW,14004009,Name 12,Female,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
MMR014004,1,3,201226,AMW,14004013,Name 13,Female,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
MMR014004,1,3,201226,CHW,14004014,Name 14,Female,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
MMR014004,1,3,201241,CHW,14004015,Name 15,Male,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
MMR014004,1,3,201296,CHW,14004016,Name 16,Male,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
MMR014004,1,3,201297,AMW,14004017,Name 17,Female,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
MMR014004,1,4,201203,AMW,14004018,Name 18,Female,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
MMR014004,1,4,201203,CHW,14004019,Name 19,Female,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
MMR014004,1,4,201205,CHW,14004020,Name 20,Female,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
MMR014004,1,4,201208,AMW,14004021,Name 21,Female,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
MMR014004,1,4,201208,AMW,14004022,Name 22,Female,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
MMR014004,1,4,201208,CHW,14004023,Name 23,Male,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
MMR014004,1,4,201215,CHW,14004024,Name 24,Male,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
MMR014004,1,4,201216,AMW,14004025,Name 25,Female,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
MMR014004,1,4,201216,CHW,14004026,Name 26,Male,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
MMR014004,1,4,201219,AMW,14004027,Name 27,Female,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
MMR014004,1,4,600016,AMW,14004028,Name 28,Female,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
MMR014004,1,4,600016,AMW,14004029,Name 29,Female,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
MMR014004,1,5,201230,AMW,14004030,Name 30,Female,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
MMR014004,1,5,201230,AMW,14004031,Name 31,Female,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
MMR014004,1,5,201240,AMW,14004032,Name 32,Female,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
